date,Open,High,Low,Close,Volume
2002-07-01,283.25,291.95,283.25,287.0,240.0
2002-07-02,290.0,294.9,288.0,288.0,1240.0
2002-07-03,294.95,295.0,291.55,294.8,1345.0
2002-07-04,295.95,324.3,295.0,324.3,6872.0
2002-07-05,330.0,331.0,313.05,317.8,2106.0
2002-07-08,303.6,324.5,303.6,317.25,2963.0
2002-07-09,320.0,327.0,317.1,319.9,3487.0
2002-07-10,319.0,319.0,309.0,309.6,2056.0
2002-07-11,308.05,308.1,301.5,302.05,1514.0
2002-07-12,304.0,307.95,300.0,300.45,370.0
2002-07-15,296.2,297.0,291.6,293.25,280.0
2002-07-16,304.0,304.0,293.1,293.4,1124.0
2002-07-17,291.3,294.9,290.3,291.5,292.0
2002-07-18,294.0,300.0,294.0,299.85,185.0
2002-07-19,302.0,305.0,298.5,300.0,2863.0
2002-07-22,286.0,304.9,286.0,295.0,3612.0
2002-07-23,299.2,305.0,292.3,301.55,1220.0
2002-07-24,300.25,303.5,296.0,300.15,2500.0
2002-07-25,302.0,306.9,300.0,303.25,1145.0
2002-07-26,310.0,315.0,280.0,304.4,13166.0
2002-07-29,305.0,305.1,300.0,300.1,8142.0
2002-07-30,302.2,305.8,300.0,300.1,2847.0
2002-07-31,300.0,305.0,296.0,302.45,1150.0
2002-08-01,304.0,304.75,300.0,300.0,1995.0
2002-08-02,300.1,300.1,300.0,300.0,1687.0
2002-08-05,301.0,305.0,301.0,302.4,194.0
2002-08-06,304.9,306.0,301.0,301.2,1180.0
2002-08-07,303.5,306.0,303.5,304.2,315.0
2002-08-08,305.0,305.0,300.05,301.0,567.0
2002-08-09,302.5,305.9,300.0,304.15,1330.0
2002-08-12,305.0,305.0,300.1,300.55,219.0
2002-08-13,300.0,300.0,300.0,300.0,205.0
2002-08-14,300.05,302.0,300.0,301.0,1170.0
2002-08-16,301.75,303.5,295.3,299.35,403.0
2002-08-19,296.0,302.0,296.0,300.85,615.0
2002-08-20,300.1,306.0,300.1,304.95,676.0
2002-08-21,303.0,304.8,301.0,301.85,760.0
2002-08-22,301.6,302.0,301.5,301.6,70.0
2002-08-23,301.0,308.8,301.0,308.8,550.0
2002-08-26,301.3,302.15,300.0,300.6,305.0
2002-08-27,304.85,306.0,304.85,305.0,413.0
2002-08-28,305.15,309.45,305.15,305.55,113.0
2002-08-29,305.5,311.9,305.0,309.95,1370.0
2002-08-30,305.55,320.0,305.55,317.55,1906.0
2002-09-02,320.25,329.0,311.0,315.8,2458.0
2002-09-03,315.0,318.0,312.0,316.75,774.0
2002-09-04,320.0,320.0,315.0,317.1,1337.0
2002-09-05,322.8,322.8,309.0,311.1,268.0
2002-09-06,310.1,315.0,309.0,312.5,964.0
